대학교명,url,desc
DGIST,https://www.dgist.ac.kr/adm/,DGIST 입학처
GIST,https://www.gist.ac.kr/uadm/main.html,GIST 입학처
KAIST,https://admission.kaist.ac.kr/undergraduate,KAIST 입학처
KENTECH,https://admission.kentech.ac.kr/ipsi,KENTECH 입학처
POSTECH,https://adm-u.postech.ac.kr/,POSTECH 입학처
UNIST,https://adm-u.unist.ac.kr/,UNIST 입학처
가야대학교,https://ipsi.kaya.ac.kr/Home/Main.mbz,가야대학교 입학처
가천대학교,https://admission.gachon.ac.kr/admission/html/main/main.asp,가천대학교 입학처
가톨릭관동대학교,https://ipsi.cku.ac.kr/sites/iphak/index.do,가톨릭관동대학교 입학처
가톨릭꽃동네대학교,https://www.kkot.ac.kr/ipsi/main/view,가톨릭꽃동네대학교 입학처
가톨릭대학교,https://ipsi.catholic.ac.kr/main.do,가톨릭대학교 입학처
강남대학교,https://admission.kangnam.ac.kr/main.htm,강남대학교 입학처
강원대학교(강릉),https://wwwk.kangwon.ac.kr/admission/main.do,강원대학교(강릉) 입학처
강원대학교(원주),https://wwwk.kangwon.ac.kr/admission/main.do,강원대학교(원주) 입학처
강서대학교,https://entrance.gangseo.ac.kr/kcui/mainService,강서대학교 입학처
강원대학교(춘천),https://wwwk.kangwon.ac.kr/admission/main.do,강원대학교(춘천) 입학처
강원대학교(삼척),https://wwwk.kangwon.ac.kr/admission/main.do,강원대학교(삼척) 입학처
강원대학교(도계),https://wwwk.kangwon.ac.kr/admission/main.do,강원대학교(도계) 입학처
건국대학교,https://enter.konkuk.ac.kr/main.do,건국대학교 입학처
건국대학교(글로컬),https://enter.konkuk.ac.kr/main.do,건국대학교(글로컬) 입학처
건양대학교,https://ipsi.konyang.ac.kr/ipsi/index.do,건양대학교 입학처
경기대학교,https://enter.kyonggi.ac.kr/index.do,경기대학교 입학처
경남대학교,https://ipsi.kyungnam.ac.kr/sites/ipsi/index.do#close,경남대학교 입학처
경동대학교,https://www.kduniv.ac.kr/iphak/Main.do,경동대학교 입학처
경북대학교,https://ipsi1.knu.ac.kr/main/,경북대학교 입학처
경상대학교,https://www.gnu.ac.kr/new/main.do,경상대학교 입학처
경성대학교,https://kscms.ks.ac.kr/ipsi/Main.do,경성대학교 입학처
경인교육대학교,https://ipsi.ginue.ac.kr/ipsi/Main.do,경인교육대학교 입학처
경일대학교,https://ibsi.kiu.ac.kr/admission/index.htm,경일대학교 입학처
경희대학교,https://iphak.khu.ac.kr/mainIntro/introhtml.do,경희대학교 입학처
계명대학교,https://www.gokmu.ac.kr/main.htm#none,계명대학교 입학처
고려대학교,https://oku.korea.ac.kr/oku/index.do,고려대학교 입학처
고려대학교(세종),https://oku.korea.ac.kr/oku/index.do,고려대학교(세종) 입학처
고신대학교,https://home.kosin.ac.kr/enter/,고신대학교 입학처
공주교육대학교,https://www.gjue.ac.kr/html/ipsi/index.html,공주교육대학교 입학처
공주대학교,https://ipsi.kongju.ac.kr/kor,공주대학교 입학처
광운대학교,https://iphak.kw.ac.kr/intro.php,광운대학교 입학처
광주교육대학교,https://entrance.gnue.ac.kr/,광주교육대학교 입학처
광주대학교,https://iphak.gwangju.ac.kr/,광주대학교 입학처
광주여자대학교,https://ipsi.kwu.ac.kr/index.do,광주여자대학교 입학처
국민대학교,https://admission.kookmin.ac.kr/main.php,국민대학교 입학처
군산대학교,https://www.kunsan.ac.kr/iphak/index.kunsan,군산대학교 입학처
극동대학교,https://ipsi.kdu.ac.kr/ipsi/main.do,극동대학교 입학처
금오공과대학교,https://iphak.kumoh.ac.kr/ipsi/index.do,금오공과대학교 입학처
김천대학교,https://ibhak.gimcheon.ac.kr/,김천대학교 입학처
나사렛대학교,https://cms.kornu.ac.kr/ipsi/index.do,나사렛대학교 입학처
남부대학교,https://ipsi.nambu.ac.kr/ipsi/index.do,남부대학교 입학처
남서울대학교,https://www.namseoul.net/main.do?fileUrl=%2Ffile%2FimageSrc.do,남서울대학교 입학처
단국대학교,https://ipsi.dankook.ac.kr/jukjeon/main.html,단국대학교 입학처
단국대학교(천안),https://ipsi.dankook.ac.kr/jukjeon/main.html,단국대학교(천안) 입학처
대구가톨릭대학교,https://ibsi.cu.ac.kr/kor.do,대구가톨릭대학교 입학처
대구교육대학교,https://admission.dnue.ac.kr/ipsi/Main.do,대구교육대학교 입학처
대구대학교,https://ipsi.daegu.ac.kr/kor,대구대학교 입학처
대구한의대학교,https://www.dhu.ac.kr/admission/,대구한의대학교 입학처
대전대학교,https://ipsi.dju.ac.kr/enter/html/main/main.asp,대전대학교 입학처
대진대학교,https://admission.daejin.ac.kr/main.do,대진대학교 입학처
덕성여자대학교,https://enter.duksung.ac.kr/main.php,덕성여자대학교 입학처
동국대학교,https://ipsi.dongguk.edu/admission/html/main/main.asp,동국대학교 입학처
동국대학교(WISE),https://ipsi.dongguk.edu/admission/html/main/main.asp,동국대학교(WISE) 입학처
동덕여자대학교,https://ipsi.dongduk.ac.kr/ipsi/main/index.do,동덕여자대학교 입학처
동명대학교,https://www.tu.ac.kr/iphak/index.do,동명대학교 입학처
